IDENT; Kiermaszy; Wystaw; Rok
1080; 3; 2; 2021
1080; 3; 2; 2022
1081; 2; 0; 2021
1081; 3; 3; 2022
1082; 3; 3; 2022
1083; 2; 1; 2020
1083; 2; 1; 2021
1083; 4; 3; 2022
1084; 2; 2; 2021
1084; 4; 3; 2022
1085; 2; 3; 2022
1086; 1; 0; 2022
1087; 2; 1; 2020
1087; 4; 1; 2021
1087; 4; 2; 2022
1088; 3; 3; 2022
1089; 3; 1; 2020
1089; 3; 1; 2021
1089; 3; 2; 2022
1090; 3; 2; 2021
1090; 2; 3; 2022
1091; 0; 5; 2022
1092; 2; 2; 2021
1092; 3; 2; 2022
1093; 3; 1; 2022
1094; 0; 3; 2021
1094; 2; 3; 2022
1095; 6; 2; 2022
1096; 4; 0; 2021
1096; 4; 3; 2022
1097; 2; 0; 2022
1098; 2; 1; 2020
1098; 3; 0; 2021
1098; 6; 2; 2022
1099; 2; 1; 2020
1099; 3; 1; 2021
1099; 6; 3; 2022
1100; 3; 4; 2022
1101; 4; 0; 2021
1101; 6; 2; 2022
1102; 2; 2; 2022
1103; 2; 1; 2020
1103; 3; 1; 2021
1103; 5; 2; 2022
1104; 3; 0; 2022
1105; 1; 2; 2022
1106; 3; 0; 2020
1106; 4; 0; 2021
1106; 4; 2; 2022
1107; 2; 2; 2021
1107; 5; 4; 2022
1108; 2; 2; 2021
1108; 5; 4; 2022
1109; 3; 0; 2021
1109; 3; 1; 2022
1110; 3; 0; 2020
1110; 3; 1; 2021
1110; 4; 2; 2022
1111; 2; 2; 2020
1111; 2; 2; 2021
1111; 4; 2; 2022
1112; 3; 0; 2021
1112; 3; 0; 2022
1113; 0; 4; 2022
1114; 2; 2; 2020
1114; 2; 2; 2021
1114; 4; 2; 2022
1115; 1; 2; 2022
1116; 3; 0; 2020
1116; 2; 1; 2021
1116; 1; 3; 2022
1117; 1; 5; 2022
1118; 2; 0; 2021
1118; 5; 2; 2022
1119; 2; 1; 2022
1120; 3; 2; 2021
1120; 3; 3; 2022
1121; 2; 2; 2021
1121; 4; 2; 2022
1122; 2; 5; 2022
1123; 0; 2; 2021
1123; 0; 4; 2022
1124; 3; 1; 2020
1124; 3; 0; 2021
1124; 3; 2; 2022
1125; 3; 0; 2020
1125; 3; 0; 2021
1125; 4; 3; 2022
1126; 3; 3; 2021
1126; 2; 3; 2022
1127; 3; 2; 2021
1127; 3; 4; 2022
1128; 3; 0; 2020
1128; 3; 0; 2021
1128; 3; 3; 2022
1129; 1; 3; 2022
1130; 1; 3; 2022
1131; 2; 2; 2020
1131; 2; 2; 2021
1131; 4; 2; 2022
1132; 2; 5; 2022
1133; 3; 4; 2022
1134; 1; 2; 2021
1134; 4; 2; 2022
1135; 3; 0; 2020
1135; 3; 0; 2021
1135; 3; 1; 2022
1136; 2; 0; 2020
1136; 3; 1; 2021
1136; 3; 2; 2022
1137; 2; 0; 2022
1138; 0; 2; 2022
1139; 2; 2; 2021
1139; 2; 3; 2022
1140; 2; 3; 2022
1141; 2; 0; 2020
1141; 3; 1; 2021
1141; 6; 3; 2022
1142; 2; 0; 2021
1142; 4; 0; 2022
1143; 4; 0; 2022
1144; 2; 2; 2020
1144; 4; 2; 2021
1144; 5; 2; 2022
1145; 2; 3; 2021
1145; 2; 3; 2022
1146; 2; 1; 2020
1146; 3; 2; 2021
1146; 5; 2; 2022
1147; 2; 0; 2020
1147; 4; 1; 2021
1147; 5; 3; 2022
1148; 4; 0; 2022
1149; 3; 0; 2020
1149; 3; 1; 2021
1149; 3; 2; 2022
1150; 2; 0; 2020
1150; 2; 0; 2021
1150; 4; 0; 2022
1151; 3; 1; 2020
1151; 3; 2; 2021
1151; 3; 1; 2022
1152; 1; 0; 2022
1153; 2; 0; 2021
1153; 3; 2; 2022
1154; 1; 2; 2022
1155; 0; 3; 2022
1157; 3; 0; 2020
1157; 3; 0; 2021
1157; 3; 1; 2022
1158; 2; 2; 2021
1158; 5; 4; 2022
1159; 4; 1; 2022
1160; 4; 2; 2022
1161; 1; 1; 2022
1162; 3; 0; 2020
1162; 3; 0; 2021
1162; 3; 2; 2022
1163; 0; 2; 2021
1163; 4; 3; 2022
1164; 1; 2; 2022
1165; 2; 2; 2021
1165; 5; 2; 2022
1166; 2; 0; 2020
1166; 3; 0; 2021
1166; 5; 2; 2022
1167; 3; 2; 2021
1167; 5; 3; 2022
1168; 3; 0; 2021
1168; 5; 3; 2022
1169; 3; 1; 2020
1169; 3; 1; 2021
1169; 5; 3; 2022
1170; 4; 0; 2021
1170; 4; 0; 2022
1172; 4; 2; 2021
1172; 5; 3; 2022
1173; 2; 2; 2020
1173; 3; 2; 2021
1173; 5; 2; 2022
1174; 4; 0; 2021
1174; 5; 1; 2022
1175; 4; 0; 2021
1175; 4; 2; 2022
1176; 3; 0; 2020
1176; 3; 0; 2021
1176; 5; 2; 2022
1177; 4; 0; 2021
1177; 4; 0; 2022
1178; 3; 4; 2022
1179; 3; 1; 2020
1179; 3; 2; 2021
1179; 4; 2; 2022
1181; 5; 6; 2022
1182; 8; 3; 2022
1183; 5; 0; 2022
1184; 2; 3; 2022
1185; 2; 3; 2022
1186; 4; 5; 2022
1187; 3; 2; 2021
1187; 5; 3; 2022
1188; 2; 2; 2020
1188; 3; 2; 2021
1188; 6; 2; 2022
1189; 2; 2; 2021
1189; 4; 3; 2022
1190; 1; 3; 2022
1191; 3; 0; 2020
1191; 3; 1; 2021
1191; 4; 2; 2022
1192; 4; 3; 2022
1193; 0; 2; 2021
1193; 0; 4; 2022
1194; 4; 3; 2022
1196; 4; 0; 2021
1196; 5; 1; 2022
1197; 4; 3; 2022
1198; 3; 3; 2021
1198; 5; 3; 2022
1199; 2; 2; 2021
1199; 3; 4; 2022
1200; 4; 0; 2021
1200; 6; 0; 2022
1201; 6; 5; 2022
1202; 3; 1; 2020
1202; 3; 2; 2021
1202; 5; 2; 2022
1203; 1; 1; 2022
1204; 3; 3; 2022
1205; 2; 1; 2021
1205; 3; 4; 2022
1206; 4; 4; 2021
1206; 5; 1; 2022
1207; 2; 2; 2022
1208; 1; 6; 2022
1209; 3; 0; 2020
1209; 3; 0; 2021
1209; 5; 2; 2022
1210; 3; 1; 2020
1210; 3; 1; 2021
1210; 5; 3; 2022
1211; 2; 2; 2021
1211; 4; 2; 2022
1212; 3; 0; 2020
1212; 3; 2; 2021
1212; 5; 2; 2022
1213; 4; 1; 2021
1213; 4; 2; 2022
1214; 3; 2; 2020
1214; 4; 2; 2021
1214; 4; 2; 2022
1215; 1; 2; 2022
1216; 0; 6; 2022
1217; 1; 1; 2022
1218; 5; 0; 2021
1218; 5; 0; 2022
1219; 3; 2; 2021
1219; 3; 2; 2022
1220; 4; 2; 2022
1221; 3; 0; 2020
1221; 4; 0; 2021
1221; 4; 3; 2022
1222; 3; 6; 2022
1223; 2; 3; 2022
1224; 3; 1; 2020
1224; 3; 1; 2021
1224; 5; 2; 2022
1225; 2; 5; 2022
1226; 2; 1; 2021
1226; 5; 2; 2022
1227; 3; 2; 2022
1228; 5; 0; 2021
1228; 6; 0; 2022
1229; 3; 0; 2022
1230; 5; 2; 2022
1231; 2; 3; 2022
1232; 3; 2; 2021
1232; 3; 2; 2022
1233; 2; 3; 2022
1234; 2; 2; 2021
1234; 5; 3; 2022
1235; 2; 1; 2020
1235; 2; 1; 2021
1235; 5; 3; 2022
1236; 6; 0; 2022
1237; 3; 2; 2021
1237; 3; 2; 2022
1238; 1; 2; 2021
1238; 4; 3; 2022
1239; 3; 4; 2022
1240; 2; 1; 2020
1240; 3; 1; 2021
1240; 5; 1; 2022
1241; 5; 0; 2021
1241; 6; 0; 2022
1243; 2; 2; 2022
1244; 3; 1; 2020
1244; 3; 1; 2021
1244; 5; 1; 2022
1245; 5; 0; 2021
1245; 5; 0; 2022
1246; 4; 0; 2021
1246; 5; 2; 2022
1247; 3; 2; 2020
1247; 3; 2; 2021
1247; 4; 2; 2022
1248; 3; 2; 2022
1249; 2; 0; 2021
1249; 4; 2; 2022
1250; 3; 1; 2021
1250; 4; 2; 2022
1251; 3; 2; 2021
1251; 4; 2; 2022
1252; 4; 0; 2021
1252; 4; 0; 2022
1253; 3; 0; 2020
1253; 3; 0; 2021
1253; 3; 2; 2022
1254; 4; 0; 2021
1254; 5; 2; 2022
1255; 5; 3; 2022
1256; 3; 1; 2020
1256; 3; 1; 2021
1256; 4; 2; 2022
1257; 3; 0; 2021
1257; 4; 0; 2022
1258; 4; 0; 2021
1258; 4; 2; 2022
1259; 4; 0; 2021
1259; 5; 0; 2022
1260; 3; 1; 2020
1260; 3; 1; 2021
1260; 5; 1; 2022
1261; 3; 0; 2021
1261; 4; 2; 2022
1262; 3; 1; 2020
1262; 3; 2; 2021
1262; 4; 1; 2022
1263; 4; 0; 2022
1264; 3; 0; 2021
1264; 3; 2; 2022
1265; 6; 1; 2022
1266; 2; 0; 2021
1266; 5; 2; 2022
1267; 3; 0; 2021
1267; 4; 1; 2022
1268; 4; 0; 2021
1268; 5; 0; 2022
1269; 0; 3; 2021
1269; 0; 3; 2022
1270; 5; 0; 2021
1270; 6; 0; 2022
1271; 0; 3; 2022
1272; 1; 5; 2022
1273; 4; 3; 2022
1274; 2; 1; 2020
1274; 4; 1; 2021
1274; 4; 2; 2022
1275; 2; 2; 2021
1275; 3; 2; 2022
1276; 5; 3; 2022
1277; 2; 2; 2020
1277; 4; 1; 2021
1277; 4; 1; 2022
1278; 4; 2; 2021
1278; 5; 3; 2022
1279; 3; 1; 2020
1279; 3; 2; 2021
1279; 4; 2; 2022
1280; 4; 0; 2021
1280; 5; 1; 2022
1281; 3; 0; 2020
1281; 3; 1; 2021
1281; 3; 2; 2022
1282; 8; 6; 2022
1283; 4; 0; 2021
1283; 6; 0; 2022
1284; 4; 2; 2022
1285; 4; 1; 2022
1286; 3; 0; 2020
1286; 3; 1; 2021
1286; 3; 2; 2022
1287; 3; 0; 2021
1287; 5; 3; 2022
1289; 1; 5; 2022
1290; 3; 1; 2020
1290; 3; 1; 2021
1290; 5; 3; 2022
1291; 5; 4; 2022
1292; 4; 2; 2022
1293; 0; 2; 2022
1294; 3; 2; 2022
1295; 1; 3; 2021
1295; 2; 3; 2022
1296; 2; 3; 2022
1297; 2; 0; 2022
1298; 3; 0; 2021
1298; 4; 1; 2022
1299; 0; 2; 2021
1299; 0; 4; 2022
1300; 1; 5; 2022
1301; 1; 1; 2021
1301; 3; 4; 2022
1302; 4; 0; 2021
1302; 5; 2; 2022
1303; 2; 3; 2021
1303; 2; 3; 2022
1304; 3; 1; 2021
1304; 4; 2; 2022
1305; 3; 1; 2020
1305; 3; 1; 2021
1305; 3; 1; 2022
1306; 3; 4; 2022
1307; 3; 2; 2021
1307; 4; 4; 2022
1308; 2; 2; 2020
1308; 3; 2; 2021
1308; 4; 2; 2022
1309; 2; 2; 2020
1309; 4; 2; 2021
1309; 4; 2; 2022
1310; 3; 1; 2020
1310; 3; 1; 2021
1310; 5; 2; 2022
1311; 0; 3; 2021
1311; 0; 3; 2022
1312; 3; 0; 2021
1312; 4; 0; 2022
1313; 3; 0; 2021
1313; 4; 3; 2022
1314; 2; 3; 2021
1314; 2; 3; 2022
1315; 0; 2; 2021
1315; 3; 3; 2022
1316; 2; 2; 2022
1317; 3; 0; 2022
1318; 3; 2; 2021
1318; 4; 3; 2022
1319; 5; 0; 2021
1319; 6; 0; 2022
1320; 4; 3; 2022
1321; 2; 0; 2022
1322; 2; 1; 2020
1322; 3; 1; 2021
1322; 3; 2; 2022
1323; 4; 1; 2022
1324; 4; 3; 2022
1325; 2; 3; 2021
1325; 2; 3; 2022
1326; 2; 0; 2022
1327; 4; 0; 2021
1327; 5; 0; 2022
1328; 3; 0; 2022
1329; 3; 5; 2022
1330; 4; 2; 2021
1330; 4; 2; 2022
1331; 4; 0; 2021
1331; 4; 0; 2022
1332; 3; 1; 2022
1333; 3; 2; 2021
1333; 4; 2; 2022
1334; 3; 2; 2021
1334; 3; 2; 2022
1335; 3; 3; 2021
1335; 4; 3; 2022
1336; 5; 0; 2021
1336; 6; 1; 2022
1337; 4; 0; 2021
1337; 5; 0; 2022
1338; 5; 1; 2022
1339; 2; 0; 2022
1340; 4; 3; 2022
1341; 3; 4; 2022
1342; 3; 0; 2022
1343; 1; 3; 2021
1343; 2; 3; 2022
1344; 3; 3; 2021
1344; 3; 3; 2022
1345; 2; 5; 2022
1346; 4; 5; 2022
1347; 4; 1; 2021
1347; 5; 2; 2022
1348; 5; 0; 2021
1348; 6; 0; 2022
1349; 3; 1; 2020
1349; 3; 1; 2021
1349; 4; 3; 2022
1350; 3; 1; 2020
1350; 3; 1; 2021
1350; 4; 2; 2022
1351; 3; 2; 2020
1351; 3; 2; 2021
1351; 5; 2; 2022
1352; 3; 1; 2020
1352; 3; 1; 2021
1352; 4; 3; 2022
1353; 5; 3; 2022
1354; 2; 2; 2021
1354; 3; 3; 2022
1355; 3; 2; 2020
1355; 3; 2; 2021
1355; 5; 2; 2022
1356; 4; 1; 2021
1356; 4; 2; 2022
1357; 1; 1; 2022
1358; 4; 2; 2021
1358; 4; 3; 2022
1359; 4; 3; 2021
1359; 4; 3; 2022
1360; 3; 1; 2020
1360; 3; 1; 2021
1360; 4; 2; 2022
1361; 3; 1; 2021
1361; 4; 2; 2022
1362; 0; 3; 2021
1362; 0; 3; 2022
1363; 2; 3; 2022
1364; 3; 0; 2020
1364; 3; 0; 2021
1364; 5; 0; 2022
1365; 3; 1; 2020
1365; 3; 1; 2021
1365; 2; 2; 2022
1366; 5; 0; 2021
1366; 6; 1; 2022
1367; 4; 2; 2022
1368; 2; 0; 2021
1368; 4; 1; 2022
1369; 3; 3; 2022
1370; 3; 0; 2021
1370; 4; 2; 2022
1371; 4; 0; 2021
1371; 4; 3; 2022
1372; 4; 6; 2022
1373; 2; 3; 2022
1374; 0; 1; 2022
1375; 3; 2; 2021
1375; 4; 3; 2022
1376; 4; 4; 2022
1377; 3; 5; 2022
1378; 4; 0; 2021
1378; 5; 1; 2022
1380; 3; 2; 2020
1380; 3; 2; 2021
1380; 4; 2; 2022
1381; 5; 1; 2022
1382; 5; 2; 2022
1383; 3; 0; 2021
1383; 4; 0; 2022
1384; 3; 0; 2020
1384; 3; 0; 2021
1384; 4; 2; 2022
1385; 4; 0; 2021
1385; 4; 2; 2022
1386; 5; 2; 2022
1387; 3; 1; 2020
1387; 3; 1; 2021
1387; 5; 2; 2022
1389; 4; 2; 2021
1389; 5; 2; 2022
1390; 4; 2; 2022
1391; 3; 1; 2021
1391; 5; 2; 2022
1392; 5; 4; 2022
1393; 5; 0; 2021
1393; 6; 0; 2022
1394; 4; 3; 2022
1395; 0; 2; 2022
1396; 3; 0; 2021
1396; 5; 0; 2022
1397; 3; 1; 2021
1397; 3; 2; 2022
1398; 1; 1; 2022
1399; 0; 3; 2021
1399; 0; 3; 2022
1400; 3; 4; 2022
1401; 5; 4; 2022
1402; 6; 2; 2022
1403; 2; 3; 2021
1403; 3; 3; 2022
1404; 2; 0; 2021
1404; 5; 2; 2022
1405; 3; 0; 2020
1405; 3; 0; 2021
1405; 5; 2; 2022
1406; 3; 0; 2021
1406; 5; 1; 2022
1407; 3; 1; 2020
1407; 3; 0; 2021
1407; 5; 2; 2022
1408; 1; 3; 2022
1409; 5; 5; 2022
1410; 3; 0; 2020
1410; 4; 0; 2021
1410; 4; 2; 2022
1411; 6; 3; 2022
1412; 2; 2; 2022
1413; 3; 2; 2020
1413; 3; 2; 2021
1413; 4; 2; 2022
1414; 4; 2; 2021
1414; 5; 3; 2022
1415; 3; 0; 2021
1415; 4; 2; 2022
1416; 4; 3; 2021
1416; 4; 3; 2022
1417; 3; 2; 2021
1417; 5; 2; 2022
1418; 4; 3; 2021
1418; 4; 3; 2022
1419; 0; 6; 2022
1420; 3; 1; 2020
1420; 3; 1; 2021
1420; 5; 3; 2022
1421; 3; 0; 2020
1421; 3; 0; 2021
1421; 5; 2; 2022
1422; 4; 1; 2021
1422; 5; 2; 2022
1423; 3; 0; 2022
1424; 3; 1; 2020
1424; 3; 1; 2021
1424; 4; 2; 2022
1425; 4; 0; 2022
1426; 0; 2; 2022
1427; 4; 1; 2022
1428; 0; 2; 2022
1429; 4; 2; 2022
1430; 1; 4; 2022
1431; 3; 3; 2022
1432; 3; 2; 2021
1432; 3; 2; 2022
1433; 4; 0; 2021
1433; 4; 1; 2022
1434; 3; 2; 2020
1434; 3; 2; 2021
1434; 4; 2; 2022
1435; 2; 0; 2021
1435; 5; 1; 2022
1436; 5; 5; 2022
1437; 4; 0; 2021
1437; 5; 1; 2022
1438; 0; 2; 2022
1439; 3; 1; 2022
1440; 4; 0; 2021
1440; 4; 1; 2022
1441; 3; 1; 2021
1441; 3; 2; 2022
1442; 4; 2; 2021
1442; 4; 3; 2022
1443; 1; 0; 2022
1444; 3; 0; 2021
1444; 3; 0; 2022
1445; 4; 1; 2022
1446; 2; 0; 2021
1446; 3; 0; 2022
1447; 4; 0; 2020
1447; 4; 0; 2021
1447; 3; 2; 2022
1448; 3; 3; 2021
1448; 4; 3; 2022
1449; 3; 4; 2022
1450; 4; 0; 2022
1451; 3; 1; 2020
1451; 3; 1; 2021
1451; 4; 2; 2022
1452; 5; 0; 2022
1453; 3; 1; 2020
1453; 3; 1; 2021
1453; 5; 3; 2022
1454; 1; 4; 2022
1455; 4; 2; 2021
1455; 4; 2; 2022
1456; 1; 1; 2022
1457; 4; 5; 2022
1458; 4; 0; 2022
1460; 2; 3; 2021
1460; 3; 3; 2022
1461; 3; 1; 2020
1461; 3; 1; 2021
1461; 5; 2; 2022
1463; 1; 6; 2022
1464; 3; 0; 2020
1464; 4; 0; 2021
1464; 4; 1; 2022
1466; 1; 1; 2022
1467; 5; 1; 2022
1468; 2; 3; 2022
1469; 3; 1; 2022
1470; 3; 2; 2020
1470; 3; 2; 2021
1470; 4; 2; 2022
1471; 4; 3; 2021
1471; 5; 3; 2022
1472; 5; 4; 2022
1473; 3; 6; 2022
1474; 3; 2; 2021
1474; 4; 3; 2022
1475; 3; 0; 2022
1476; 3; 1; 2020
1476; 3; 1; 2021
1476; 5; 1; 2022
1477; 0; 4; 2022
1478; 3; 1; 2022
1479; 3; 2; 2021
1479; 2; 3; 2022
1480; 4; 3; 2022
1481; 1; 0; 2022
1482; 3; 2; 2020
1482; 3; 2; 2021
1482; 4; 2; 2022
1483; 3; 2; 2021
1483; 3; 2; 2022
1484; 3; 0; 2021
1484; 3; 0; 2022
1485; 5; 0; 2021
1485; 5; 0; 2022
1486; 0; 6; 2022
1487; 4; 5; 2022
1488; 3; 3; 2021
1488; 3; 3; 2022
1489; 0; 3; 2022
1490; 1; 0; 2022
1491; 4; 4; 2022
1492; 3; 6; 2022
1493; 3; 3; 2022
1494; 3; 0; 2021
1494; 3; 2; 2022
1495; 3; 1; 2020
1495; 3; 1; 2021
1495; 3; 3; 2022
1497; 3; 2; 2021
1497; 3; 3; 2022
1498; 3; 0; 2021
1498; 4; 1; 2022
1499; 3; 0; 2022
1500; 3; 1; 2020
1500; 3; 1; 2021
1500; 4; 2; 2022
1501; 3; 1; 2021
1501; 3; 2; 2022
1502; 3; 1; 2020
1502; 3; 1; 2021
1502; 5; 3; 2022
1503; 3; 2; 2021
1503; 5; 2; 2022
1504; 5; 0; 2022
1505; 3; 1; 2020
1505; 3; 1; 2021
1505; 3; 2; 2022
1506; 1; 3; 2022
1507; 4; 0; 2021
1507; 6; 1; 2022
1508; 4; 2; 2022
1509; 1; 0; 2022
1510; 3; 1; 2020
1510; 3; 1; 2021
1510; 4; 1; 2022
1511; 2; 0; 2022
1512; 3; 0; 2020
1512; 4; 0; 2021
1512; 4; 1; 2022
1514; 4; 0; 2021
1514; 4; 0; 2022
1515; 6; 2; 2022
1516; 3; 3; 2021
1516; 3; 3; 2022
1517; 3; 2; 2021
1517; 4; 2; 2022
1518; 0; 3; 2022
1519; 3; 1; 2020
1519; 3; 1; 2021
1519; 5; 1; 2022
1520; 4; 3; 2021
1520; 4; 3; 2022
1521; 0; 4; 2022
1522; 3; 3; 2021
1522; 3; 3; 2022
1523; 2; 3; 2021
1523; 3; 3; 2022
1524; 3; 2; 2022
1525; 1; 3; 2021
1525; 2; 3; 2022
1526; 3; 1; 2020
1526; 3; 1; 2021
1526; 4; 2; 2022
1527; 4; 0; 2021
1527; 5; 2; 2022
1528; 4; 0; 2021
1528; 5; 0; 2022
1529; 5; 1; 2022
1530; 5; 3; 2022
1531; 4; 0; 2022
1532; 4; 0; 2021
1532; 4; 1; 2022
1533; 1; 3; 2021
1533; 2; 3; 2022
1534; 5; 4; 2022
1535; 0; 6; 2022
1536; 1; 3; 2021
1536; 1; 3; 2022
1537; 4; 6; 2022
1538; 3; 6; 2022
1539; 2; 1; 2020
1539; 2; 1; 2021
1539; 4; 1; 2022
1540; 4; 0; 2021
1540; 5; 1; 2022
1541; 3; 1; 2020
1541; 3; 1; 2021
1541; 3; 2; 2022
1542; 4; 2; 2021
1542; 5; 2; 2022
1543; 4; 3; 2022
1544; 3; 1; 2021
1544; 4; 2; 2022
1545; 0; 3; 2022
1546; 3; 1; 2020
1546; 3; 1; 2021
1546; 5; 2; 2022
1547; 2; 3; 2021
1547; 2; 3; 2022
1548; 4; 2; 2021
1548; 5; 3; 2022
1549; 3; 0; 2021
1549; 3; 0; 2022
1550; 2; 1; 2021
1550; 3; 2; 2022
1551; 1; 0; 2022
1552; 4; 0; 2022
1553; 3; 5; 2022
1554; 0; 3; 2021
1554; 0; 3; 2022
1555; 1; 0; 2022
1556; 3; 0; 2020
1556; 3; 2; 2021
1556; 3; 2; 2022
1557; 3; 2; 2022
1558; 3; 0; 2021
1558; 4; 0; 2022
1559; 5; 0; 2022
1560; 3; 0; 2020
1560; 3; 1; 2021
1560; 5; 1; 2022
1561; 1; 1; 2022
1562; 4; 0; 2021
1562; 4; 2; 2022
1563; 4; 6; 2022
1564; 4; 0; 2021
1564; 5; 0; 2022
1565; 3; 0; 2021
1565; 4; 0; 2022
1566; 4; 0; 2021
1566; 4; 0; 2022
1567; 5; 0; 2022
1568; 0; 3; 2022
1569; 0; 1; 2022
1570; 0; 3; 2021
1570; 0; 3; 2022
1571; 3; 1; 2020
1571; 4; 1; 2021
1571; 4; 1; 2022
1572; 5; 3; 2022
1573; 3; 1; 2021
1573; 3; 2; 2022
1574; 4; 5; 2022
1575; 1; 0; 2022
1576; 2; 1; 2022
1577; 3; 4; 2022
1578; 2; 2; 2021
1578; 3; 2; 2022
1579; 0; 3; 2021
1579; 0; 3; 2022
1580; 4; 1; 2021
1580; 5; 2; 2022
1581; 1; 0; 2022
1582; 0; 6; 2022
1583; 2; 4; 2022
1584; 4; 2; 2021
1584; 4; 2; 2022
1585; 0; 6; 2022
1586; 1; 2; 2022
1587; 3; 2; 2020
1587; 3; 2; 2021
1587; 5; 2; 2022
1588; 3; 0; 2021
1588; 4; 2; 2022
1589; 3; 0; 2020
1589; 3; 1; 2021
1589; 5; 1; 2022
1590; 2; 3; 2021
1590; 2; 3; 2022
1591; 4; 0; 2020
1591; 3; 0; 2021
1591; 4; 0; 2022
1592; 2; 3; 2021
1592; 3; 3; 2022
1593; 3; 2; 2020
1593; 3; 2; 2021
1593; 3; 2; 2022
1594; 2; 2; 2022
1595; 4; 1; 2020
1595; 3; 1; 2021
1595; 3; 3; 2022
1596; 2; 0; 2022
1597; 4; 0; 2021
1597; 4; 0; 2022
1598; 5; 3; 2022
1600; 3; 2; 2021
1600; 4; 3; 2022
1601; 4; 0; 2021
1601; 4; 0; 2022
1602; 2; 5; 2022
1603; 3; 2; 2021
1603; 5; 3; 2022
1604; 4; 4; 2022
1605; 0; 1; 2022
