numer_startowy;numer_klubu;sezon1;sezon2;sezon3
74;4;180,35;304,76;256,59
75;2;111,29;335,27;409,78
76;3;232,35;429,20;264,39
77;2;262,21;129,42;279,43
78;3;417,70;113,13;416,60
79;3;306,89;119,17;404,42
80;3;131,63;145,71;141,48
81;3;178,87;226,76;123,55
82;3;180,18;303,48;228,05
83;3;355,01;308,33;444,87
84;1;350,92;115,48;144,53
85;1;152,60;172,26;298,54
86;2;180,64;426,40;260,08
87;4;249,25;437,54;139,85
88;3;133,91;304,62;331,65
89;1;306,37;396,04;382,14
90;2;108,93;390,23;244,14
91;4;135,12;362,86;170,57
92;2;107,71;429,45;420,43
93;3;330,38;284,13;351,33
94;2;142,64;317,40;207,75
95;3;302,85;327,30;245,62
96;3;174,71;237,46;295,50
97;2;180,14;154,20;370,77
98;2;263,20;226,85;314,07
99;3;106,16;426,33;328,37
100;3;318,45;375,71;412,92
101;2;264,27;312,12;439,43
102;2;419,57;380,98;327,04
103;4;197,88;430,83;299,85
104;2;121,17;179,16;166,94
105;3;377,62;412,26;138,00
106;3;443,49;382,38;133,58
107;1;352,26;355,86;295,40
108;2;361,33;402,85;383,29
109;2;255,41;151,29;118,65
110;2;277,66;345,77;112,91
111;3;149,88;426,77;370,03
112;2;321,23;431,06;349,47
113;2;382,75;431,37;216,92
114;3;321,90;113,78;316,28
115;1;253,37;444,60;263,93
116;3;113,93;171,61;192,76
117;2;271,53;447,94;156,08
118;3;417,91;184,46;263,25
119;1;142,48;284,28;155,10
120;2;130,07;208,76;255,53
121;3;360,02;205,36;340,66
122;3;406,29;442,98;233,23
123;3;195,78;100,60;218,31
124;1;194,05;445,39;203,06
125;3;246,09;317,40;435,54
126;2;111,17;204,39;247,73
127;3;126,91;289,88;164,40
128;3;210,05;313,60;308,01
129;3;250,11;302,08;354,96
130;4;373,10;251,53;127,25
131;2;443,78;291,27;179,35
132;3;228,70;400,33;313,88
133;2;220,89;395,39;133,29
134;3;210,19;132,48;218,67
135;4;390,47;176,02;172,22
136;3;386,97;365,38;296,99
137;2;373,27;335,82;272,85
138;4;188,45;197,64;270,94
139;3;142,02;163,21;345,66
140;3;145,17;139,52;347,36
141;2;161,60;172,49;236,39
142;4;162,52;251,84;272,89
143;2;198,07;127,40;189,79
144;2;175,25;404,52;374,58
145;2;412,74;301,97;434,94
146;3;199,29;355,75;365,18
147;1;435,92;118,18;306,99
148;1;409,54;301,58;215,38
149;3;173,67;353,38;209,32
150;3;297,72;344,10;394,87
151;3;354,94;394,14;359,93
152;3;265,00;162,02;118,35
153;1;411,80;303,98;299,55
154;3;344,17;352,41;152,85
155;3;439,94;190,55;334,14
156;4;214,29;388,28;195,61
157;1;233,13;409,57;173,63
158;3;314,90;433,23;399,95
159;2;206,39;349,14;296,93
160;2;188,81;158,15;331,04
161;1;212,67;385,43;171,51
162;1;162,30;291,05;248,56
163;1;150,51;123,80;329,84
164;2;267,70;109,28;170,81
165;3;203,83;176,85;409,66
166;2;375,46;400,16;200,33
167;4;446,58;389,32;178,07
168;2;334,63;237,14;109,73
169;1;348,71;103,85;148,28
170;2;395,54;316,07;195,90
171;2;418,40;349,84;319,91
172;4;337,57;179,09;285,68
173;3;373,42;264,19;335,72
174;2;241,23;174,39;100,57
175;2;328,65;105,72;222,47
176;2;299,29;358,92;105,65
177;4;301,17;140,33;401,80
178;4;163,46;166,06;223,37
179;3;298,10;399,39;320,77
180;2;399,45;187,91;235,43
181;1;428,92;150,28;156,46
182;2;432,91;426,32;166,25
183;3;186,87;304,76;389,74
184;4;197,15;356,19;155,89
185;3;209,52;140,08;315,41
186;3;398,38;315,51;333,80
187;2;319,10;133,38;116,92
188;2;217,34;345,19;417,05
189;1;297,19;221,63;281,04
190;2;146,30;188,55;186,99
191;2;406,70;357,28;449,11
192;3;271,27;401,60;256,42
193;1;321,03;193,60;363,06
194;2;228,54;298,33;270,00
195;4;233,05;154,09;240,31
196;4;404,17;299,30;373,67
197;2;404,63;391,18;151,91
198;2;445,12;111,90;212,67
199;2;135,73;179,98;331,14
200;2;441,70;376,94;407,12
201;1;128,84;384,16;436,47
202;4;113,92;331,31;435,59
203;1;254,31;387,04;420,00
204;3;242,29;373,44;361,12
205;3;139,63;401,75;419,87
206;3;433,30;445,97;181,58
207;3;117,92;175,35;375,88
208;3;381,25;262,46;318,21
209;3;399,37;307,46;321,40
210;1;396,70;141,09;320,41
211;4;422,22;222,61;275,32
212;3;399,58;226,36;250,23
213;3;152,99;145,63;186,68
214;4;235,40;409,08;404,48
215;4;101,29;342,25;320,00
216;3;436,06;168,95;447,13
217;2;407,79;185,30;438,84
218;1;135,85;394,12;322,53
219;3;350,78;404,64;143,67
220;2;436,21;210,26;201,45
221;2;231,93;170,67;254,35
222;3;305,41;274,40;229,99
223;2;280,61;151,83;333,08
224;2;153,52;313,48;155,53
225;2;106,31;193,56;138,34
226;4;194,84;373,88;374,92
227;2;149,45;289,23;105,50
228;4;177,20;184,84;300,67
229;3;134,17;168,18;246,14
230;2;132,77;238,59;152,48
231;1;434,28;155,58;164,50
232;2;137,65;405,75;150,92
233;4;210,25;245,07;276,01
234;2;246,04;229,50;129,39
235;3;142,31;383,41;327,63
236;3;263,91;423,23;197,61
237;1;276,90;314,90;252,67
238;3;361,45;112,82;356,53
239;3;283,44;310,82;216,49
240;1;162,57;210,73;204,68
241;3;257,97;439,01;416,14
242;3;420,88;299,75;310,09
243;3;193,00;364,07;382,69
244;4;141,50;262,43;205,86
245;2;312,06;149,30;265,45
246;1;338,04;317,90;155,32
247;2;244,83;441,91;332,31
248;2;432,75;114,23;263,39
249;4;293,73;257,82;268,70
250;2;265,47;241,24;386,93
251;3;230,92;233,98;294,48
252;2;418,29;266,88;355,59
253;2;240,39;112,41;397,66
254;4;379,43;313,75;393,52
255;1;266,00;145,78;257,17
256;4;115,98;378,41;145,64
257;3;344,24;241,34;195,86
258;4;340,34;294,15;198,73
259;1;370,70;437,09;147,42
260;4;420,65;262,68;120,74
261;1;207,67;435,11;427,12
262;4;430,58;158,47;368,64
263;1;438,10;442,05;422,61
264;3;190,35;410,94;284,41
265;1;217,94;168,99;253,74
266;2;326,20;279,96;330,13
267;3;114,81;284,02;258,01
268;2;284,41;176,61;136,55
269;3;167,46;268,78;228,40
270;4;125,18;134,72;363,27
271;2;281,67;397,85;233,93
272;1;349,87;324,39;110,10
273;3;197,35;260,14;449,02
274;2;402,44;124,17;165,96
275;4;347,23;312,46;108,97
276;4;278,62;374,91;101,14
277;2;383,75;327,41;268,74
278;3;279,23;262,88;219,91
279;1;342,93;123,84;103,58
280;3;346,83;139,68;352,24
281;2;156,50;244,47;205,21
282;3;372,33;266,52;240,47
283;2;120,39;369,66;345,81
284;4;286,09;384,38;196,65
285;1;127,21;349,57;301,53
286;3;301,93;127,14;412,43
287;4;291,40;329,49;325,55
288;2;155,70;114,94;199,83
289;1;117,62;438,31;155,90
290;2;439,84;421,97;242,32
291;2;202,18;192,21;177,70
292;2;273,21;333,08;243,77
293;1;105,53;297,41;192,42
294;1;232,52;277,44;132,29
295;1;143,37;444,51;224,68
296;4;291,92;424,13;215,93
297;4;351,29;145,59;326,97
298;4;257,35;181,89;214,57
299;3;361,92;402,11;199,06
300;2;249,59;404,18;224,05
301;3;394,18;195,73;358,49
302;1;298,94;445,88;114,75
303;3;237,87;265,32;242,02
304;3;399,16;327,20;391,69
305;3;215,02;374,13;174,98
306;2;382,01;339,88;105,17
307;4;180,50;420,05;119,59
308;3;279,38;205,99;148,36
309;2;301,30;283,21;229,52
310;1;248,40;415,13;295,23
311;3;114,00;356,80;324,34
312;4;298,41;340,73;158,58
313;3;179,43;148,79;407,04
314;2;354,90;415,09;417,16
315;2;382,71;367,64;444,38
316;3;355,39;352,56;272,59
317;3;264,62;279,83;199,30
318;3;343,33;260,35;219,15
319;4;107,25;142,32;145,19
320;2;358,93;365,84;406,93
321;1;300,30;366,76;148,21
322;4;126,76;279,26;138,78
323;3;226,73;213,51;179,91
324;2;289,50;125,64;391,04
325;3;232,29;127,65;418,65
326;2;446,40;109,14;430,77
327;2;368,01;438,89;221,65
328;3;326,93;174,06;196,62
329;3;380,31;303,63;377,95
330;2;106,98;408,39;328,27
331;4;319,71;412,58;405,21
332;2;235,55;160,33;430,90
333;2;310,75;113,89;165,45
334;2;428,83;159,07;291,14
335;4;209,89;175,08;422,42
336;3;425,10;191,55;298,63
337;2;362,23;151,79;195,12
338;2;424,52;309,40;284,76
339;3;327,88;106,37;236,49
340;2;337,79;433,89;356,79
341;4;377,21;384,83;385,41
342;3;158,59;385,30;234,64
343;2;104,81;332,13;258,58
344;2;186,03;309,70;126,51
345;1;254,94;116,59;282,70
346;2;326,74;254,10;305,61
347;1;153,26;431,33;193,01
348;1;369,17;326,87;157,36
349;2;408,08;317,18;253,97
350;2;170,25;122,00;312,33
351;2;359,34;140,70;443,53
352;4;265,36;191,90;247,87
353;2;310,76;356,80;352,27
354;4;128,96;249,04;333,01
355;2;405,50;180,27;322,74
356;1;323,51;443,09;295,90
357;3;421,24;301,79;413,87
358;2;291,90;343,81;416,87
359;4;300,36;432,68;244,49
360;4;414,68;355,27;295,31
361;3;183,84;152,48;417,40
362;2;362,66;183,09;391,66
363;3;317,66;106,67;163,76
364;3;317,16;222,76;142,50
365;3;169,34;142,18;126,51
366;2;178,85;220,08;184,75
367;3;271,57;338,81;168,25
368;4;129,74;115,54;291,45
369;4;156,25;356,08;270,90
370;4;441,68;224,97;157,43
371;4;257,94;312,34;243,83
372;2;296,04;253,57;113,07
373;2;171,48;202,28;185,14
374;3;448,11;221,49;199,12
375;3;236,43;263,13;224,13
376;3;211,17;333,93;132,30
377;4;131,32;440,39;437,56
378;2;122,45;301,33;324,64
379;3;216,41;175,97;252,84
380;2;369,43;301,52;110,07
381;2;259,52;385,61;443,13
382;2;218,08;292,98;447,42
383;3;321,86;172,25;367,47
384;3;339,05;214,35;341,87
385;2;141,31;169,83;138,49
386;4;264,82;427,44;113,97
387;4;280,80;353,84;394,83
388;4;348,09;257,73;120,28
389;3;199,66;409,22;163,00
390;2;419,09;273,37;223,44
391;3;299,38;115,20;183,42
392;3;101,59;158,83;272,24
393;4;395,99;165,94;391,31
394;2;406,33;296,00;267,09
395;4;423,65;243,19;358,34
396;2;396,67;369,89;425,01
397;3;392,90;336,69;273,91
398;1;356,72;434,45;355,00
399;3;162,79;361,19;164,86
400;3;136,25;288,51;284,51
401;1;434,27;303,59;359,80
402;3;342,10;380,77;236,58
403;3;387,85;299,31;229,35
404;1;138,70;239,68;430,67
405;4;264,53;177,94;407,89
406;3;143,98;438,01;172,28
407;3;171,79;426,81;240,81
408;2;378,04;100,47;121,08
409;3;212,77;344,86;298,09
410;2;346,76;399,84;276,83
411;2;442,72;173,22;170,83
412;3;373,16;296,38;190,27
413;1;276,59;144,87;313,40
414;1;399,69;435,83;387,25
415;4;384,94;330,00;235,76
416;2;196,85;166,97;285,95
417;2;153,90;128,89;201,39
418;4;319,67;232,54;382,75
419;3;101,90;140,55;390,39
420;2;167,54;241,65;387,80
421;2;190,29;212,86;203,52
422;4;303,19;138,20;391,63
423;3;243,98;274,16;119,56
424;4;419,78;328,56;322,21
425;4;145,25;369,52;424,80
426;3;113,03;245,34;323,84
427;3;384,29;273,58;167,04
428;2;222,03;117,24;438,13
429;1;438,66;236,59;273,05
430;2;216,90;365,72;317,81
431;3;106,88;274,70;128,18
432;3;341,54;171,50;133,86
433;2;102,89;374,79;164,73
434;1;226,07;399,95;415,77
435;1;348,40;301,38;235,23
436;1;263,41;109,74;372,26
437;2;137,12;318,86;101,01
438;4;354,33;340,78;252,10
439;4;351,80;198,41;120,75
440;1;373,50;258,26;119,11
441;4;347,35;379,53;444,12
442;2;195,76;441,42;430,11
443;3;365,52;419,83;273,56
444;1;313,31;194,25;115,17
445;4;323,93;272,32;214,05
446;4;173,79;128,68;284,48
447;2;182,45;428,25;123,20
448;4;143,95;333,18;292,91
449;3;169,42;335,22;397,29
450;3;328,51;393,12;232,35
451;4;331,09;318,47;300,22
452;3;109,57;248,71;214,89
453;2;339,16;148,67;415,06
454;3;412,42;331,10;296,64
455;3;165,95;313,86;108,31
456;2;363,68;374,84;283,02
457;1;172,97;205,70;326,49
458;3;134,11;371,09;319,24
459;3;355,20;150,01;426,96
460;1;182,20;101,57;357,52
461;2;130,71;447,64;147,95
462;4;308,66;159,54;168,80
463;2;109,79;177,06;137,27
464;3;161,16;173,55;282,86
465;3;285,20;312,56;106,32
466;2;239,91;234,19;183,65
467;2;364,34;251,98;164,87
468;2;283,48;346,54;444,38
469;1;210,84;392,70;415,26
470;2;170,42;188,94;299,35
471;2;308,93;279,45;332,56
472;3;230,69;169,60;198,72
473;2;164,84;340,10;252,45
474;2;440,89;399,82;371,11
475;3;310,94;175,23;177,44
476;2;380,27;296,23;311,67
477;4;421,06;404,71;281,74
478;2;190,99;238,33;390,56
479;2;370,31;261,16;349,79
480;1;188,02;394,35;439,81
481;3;201,42;346,42;105,86
482;1;417,82;151,23;243,61
483;4;151,11;311,09;206,16
484;2;279,79;223,44;161,73
485;2;203,12;364,48;391,01
486;3;400,23;428,16;330,50
487;2;350,27;269,22;282,60
488;3;298,56;238,93;328,91
489;2;439,14;152,04;163,54
490;3;426,48;101,14;394,65
491;1;367,13;442,73;381,83
492;1;325,29;127,93;178,13
493;1;313,61;166,39;268,13
494;3;298,02;418,12;411,70
495;1;197,53;135,90;178,53
496;2;431,08;176,04;373,59
497;2;289,33;434,90;346,72
498;3;439,78;410,78;280,64
499;2;365,91;166,49;162,48
500;2;126,99;273,88;407,48
501;2;186,24;331,29;289,81
502;2;402,32;218,34;134,09
503;3;299,75;362,61;374,71
504;2;275,16;302,92;443,27
505;2;133,78;282,52;388,93
506;3;201,73;223,45;411,71
507;2;314,10;141,84;215,75
508;1;446,43;431,94;144,23
509;4;438,26;430,12;227,16
510;3;123,71;389,32;310,53
511;1;258,85;295,92;115,60
512;2;273,62;187,52;252,47
513;1;225,41;311,53;360,61
514;2;352,96;208,72;340,03
515;3;283,00;284,24;379,84
516;1;184,36;293,15;393,76
517;4;115,42;423,33;400,99
518;2;349,08;234,40;239,15
519;2;410,04;241,40;316,23
520;3;378,91;339,84;386,00
521;4;187,27;248,18;253,10
522;1;262,00;363,89;186,45
523;1;362,20;280,18;190,56
524;3;438,76;333,04;300,16
525;1;134,45;276,23;329,57
526;3;416,15;341,48;360,44
527;3;320,26;307,96;172,64
528;3;417,84;155,59;169,17
529;4;255,36;325,28;391,09
530;2;159,37;273,88;442,04
531;4;282,31;322,89;225,53
532;2;198,00;351,57;136,57
533;2;438,33;180,70;229,29
534;4;323,95;399,11;242,56
535;3;325,47;236,40;314,49
536;3;199,49;113,09;373,18
537;4;239,73;217,65;390,29
538;4;381,56;428,66;296,69
539;1;227,17;168,32;161,32
540;2;159,13;198,92;427,57
541;3;265,43;348,82;100,55
542;2;199,32;357,31;343,49
543;3;256,95;427,47;443,05
544;2;205,85;414,20;157,11
545;2;220,60;286,86;288,68
546;1;136,75;422,01;325,97
547;1;124,31;184,68;252,03
548;3;225,50;307,11;227,06
549;2;292,24;272,00;195,38
550;2;445,05;412,02;322,01
551;1;186,04;253,77;152,16
552;3;303,06;405,48;437,19
553;3;117,28;200,20;384,32
554;1;270,27;177,44;340,16
555;2;387,25;240,30;325,39
556;2;302,15;229,66;115,48
557;2;174,01;357,29;424,57
558;3;351,92;365,51;211,36
559;1;353,96;217,11;155,06
560;2;169,84;415,73;292,24
561;4;134,23;362,44;247,98
562;3;325,41;260,12;228,52
563;1;194,24;230,39;150,81
564;3;394,48;245,82;188,30
565;2;189,53;101,55;193,77
566;1;422,02;344,38;381,19
567;2;288,42;268,20;363,43
568;2;241,09;390,68;362,53
569;3;249,24;124,80;326,38
570;2;302,08;153,11;334,94
571;2;253,03;309,63;204,92
572;3;283,47;404,50;419,77
573;2;424,24;384,45;179,89
574;2;356,27;214,03;104,16
575;2;168,60;188,18;392,32
576;3;172,19;174,28;203,68
577;2;123,27;218,99;447,93
578;2;162,73;321,76;430,53
579;1;288,61;106,21;239,75
580;3;316,93;435,05;150,69
581;4;125,95;239,70;297,74
582;3;434,51;277,42;345,05
583;3;120,35;322,53;420,88
584;3;247,08;146,40;172,18
585;3;131,25;272,77;144,01
586;2;376,13;330,39;178,12
587;3;134,46;298,62;392,33
588;4;359,37;138,73;380,39
589;4;253,98;339,57;415,16
590;2;179,18;364,09;301,70
591;4;338,64;435,85;394,92
592;4;368,17;429,54;268,59
593;3;349,67;403,65;113,76
594;3;190,69;154,98;313,08
595;3;140,66;225,45;383,81
596;2;165,87;238,22;355,02
597;2;264,99;298,41;324,29
598;2;338,40;294,74;110,60
599;2;332,82;432,20;339,42
600;4;351,49;128,37;151,67
601;1;212,81;228,97;155,08
602;3;324,35;237,57;248,48
603;4;199,04;163,46;226,33
604;4;423,37;318,90;327,40
605;2;420,00;277,85;353,29
606;1;201,70;199,48;225,91
607;1;157,82;100,94;424,13
608;2;431,19;304,16;392,30
609;4;200,18;126,26;268,00
610;1;263,98;141,61;256,89
611;3;104,97;303,06;142,88
612;3;146,14;303,62;277,11
613;4;430,89;444,64;323,82
614;2;427,95;153,74;436,95
615;3;390,10;110,89;239,65
616;3;375,82;122,91;289,47
617;3;280,74;277,14;329,81
618;2;276,97;368,61;127,59
619;4;243,51;209,30;160,11
620;2;234,38;376,17;251,51
621;1;218,79;407,23;319,45
622;4;129,79;121,59;189,35
623;2;356,71;378,81;405,26
624;3;174,20;314,18;271,78
625;3;411,05;283,15;104,31
626;2;191,87;429,55;416,92
627;1;242,63;394,46;430,96
628;3;123,43;199,59;144,64
629;4;142,15;363,53;269,82
630;2;403,13;306,48;231,83
631;4;441,50;382,61;100,41
632;4;134,50;391,15;402,67
633;3;203,13;220,23;144,25
634;2;348,66;197,86;249,61
635;3;157,18;102,04;338,75
636;3;269,03;330,80;170,60
637;4;326,82;321,20;317,64
638;2;256,24;166,11;179,55
639;4;195,95;223,54;438,22
640;2;343,66;276,68;254,15
641;3;266,65;388,65;295,79
642;2;238,78;261,92;425,16
643;4;317,39;255,90;419,86
644;3;116,05;408,08;342,17
645;4;326,56;344,98;202,41
646;3;385,29;318,24;167,05
647;1;248,18;405,93;296,01
648;2;265,00;447,97;244,32
649;2;368,30;132,68;146,11
650;3;135,54;295,66;170,25
651;3;195,22;279,21;352,31
652;3;399,44;400,60;209,30
653;4;257,14;413,61;383,18
654;2;286,37;299,24;233,88
655;3;342,32;426,41;110,04
656;3;258,84;366,62;129,15
657;3;422,73;106,58;444,09
658;1;323,50;215,47;334,28
659;1;448,03;108,28;395,50
660;3;420,77;419,02;362,70
661;2;154,32;255,21;110,94
662;3;283,92;364,24;313,51
663;3;348,79;426,48;383,03
664;3;407,30;100,08;228,32
665;2;131,19;414,28;112,91
666;2;105,39;357,87;423,50
667;4;441,16;239,48;159,35
668;4;333,86;270,85;208,30
669;1;119,40;246,58;343,53
670;3;427,90;321,17;404,55
671;2;412,80;365,05;438,61
672;2;338,74;393,54;154,53
673;3;287,26;412,39;214,56
674;3;261,89;339,11;366,19
675;2;255,58;267,10;254,75
676;2;432,43;298,45;425,98
677;4;109,68;133,76;413,89
678;1;221,28;220,82;121,51
679;2;437,92;131,96;414,67
680;4;115,14;306,35;365,78
681;2;433,21;160,65;432,17
682;4;393,21;137,41;414,28
683;2;392,65;357,53;137,88
684;2;231,70;158,26;152,18
685;4;202,24;192,60;256,25
686;2;111,14;189,56;165,26
687;2;147,57;398,94;152,90
688;1;392,88;312,18;130,64
689;1;150,28;179,06;123,07
690;2;306,52;140,24;262,56
691;3;186,92;239,31;291,85
692;4;331,84;118,26;339,20
693;3;368,06;114,69;121,76
694;3;107,59;256,36;261,14
695;2;351,52;137,83;374,02
696;3;160,73;145,99;226,33
697;3;146,12;160,86;241,40
698;2;296,61;114,11;168,10
699;2;201,15;445,35;199,98
700;3;287,52;325,47;350,96
701;1;149,76;141,21;102,93
702;4;153,91;241,78;435,26
703;3;167,96;176,37;386,39
704;2;360,08;255,18;260,67
705;2;359,47;425,89;154,87
706;3;427,48;383,78;284,53
707;2;172,42;307,01;247,80
708;2;139,00;305,76;287,51
709;2;394,67;323,45;376,75
710;3;178,10;376,23;232,00
711;2;239,04;173,23;284,77
712;2;402,82;133,75;100,08
713;1;421,32;143,06;210,96
714;3;134,96;230,36;424,19
715;1;220,73;386,04;344,65
716;3;423,08;136,52;436,62
717;2;118,31;272,63;244,14
718;2;211,88;190,87;165,71
719;4;224,97;235,27;162,75
720;4;213,73;104,85;380,71
721;3;356,00;358,74;212,72
722;2;289,18;374,40;154,54
723;2;255,60;244,40;256,80
724;2;399,69;408,06;146,77
725;3;384,76;269,52;313,60
726;1;286,61;144,59;176,98
727;3;204,55;250,85;419,97
728;3;116,38;167,95;248,78
729;3;264,42;132,53;213,75
730;3;245,16;181,53;300,38
731;2;308,18;430,51;387,18
732;4;398,13;235,96;361,22
733;1;307,05;395,10;247,25
734;2;352,57;191,26;395,85
735;2;349,30;299,19;316,80
736;3;139,19;104,18;399,24
737;3;110,16;164,76;204,96
738;3;398,18;160,50;286,74
739;3;425,47;106,33;219,76
740;3;193,41;160,99;340,70
741;1;257,15;143,34;103,76
742;3;377,24;235,77;358,36
743;2;255,13;218,55;314,09
744;4;397,41;139,17;205,10
745;1;330,74;196,33;400,21
746;3;148,56;341,25;140,98
747;1;301,03;144,92;275,10
748;3;401,57;170,06;268,88
749;4;134,72;314,75;281,85
750;1;119,53;344,90;298,53
751;3;128,08;265,51;213,12
752;2;258,99;101,91;382,96
753;2;190,86;132,99;231,76
754;2;225,27;138,07;272,82
755;2;308,90;318,99;291,20
756;2;344,65;177,52;187,19
757;2;321,92;124,23;259,02
758;4;251,01;142,54;183,43
759;3;346,84;386,88;145,12
760;2;185,23;365,04;285,82
761;1;138,10;414,48;382,20
762;2;134,06;369,44;335,15
763;3;291,24;221,70;336,95
764;2;201,11;268,49;239,59
765;4;279,12;177,95;119,22
766;4;282,18;279,20;108,56
767;1;166,74;137,29;211,97
768;3;107,57;147,02;404,27
769;3;101,04;354,36;203,59
770;3;408,33;435,97;125,08
771;3;280,09;356,17;237,47
772;2;118,52;132,23;422,38
773;3;338,25;348,50;409,84
774;4;297,85;211,57;427,84
775;3;114,73;369,07;433,00
776;3;226,86;324,48;336,32
777;1;316,60;255,33;296,15
778;2;139,43;127,64;418,70
779;1;376,57;411,06;336,02
780;4;141,68;434,47;370,33
781;2;239,91;232,68;422,32
782;3;422,74;276,64;158,37
783;4;205,39;193,38;378,67
784;1;432,35;161,31;214,64
785;2;326,22;255,79;407,01
786;2;332,09;333,25;297,26
787;1;301,05;166,46;201,48
788;4;431,40;149,84;336,56
789;1;227,10;155,99;187,70
790;4;160,32;231,87;366,90
791;4;173,72;443,30;308,68
792;1;255,79;313,37;182,83
793;4;261,64;364,88;257,04
794;2;294,23;261,09;303,49
795;1;435,57;379,43;295,83
796;2;182,77;107,15;353,64
797;4;281,63;106,51;406,14
798;1;255,33;100,73;439,00
799;4;119,98;184,18;300,77
800;1;325,84;446,04;130,94
801;4;240,79;367,24;365,35
802;3;202,64;280,17;384,03
803;3;130,71;116,64;289,33
804;4;236,08;288,89;198,41
805;3;255,72;117,11;418,58
806;3;143,93;355,03;295,83
807;3;132,51;392,22;283,79
808;1;385,51;236,29;268,15
809;2;196,84;359,38;233,77
810;2;128,94;254,38;323,37
811;3;372,94;305,58;266,03
812;2;304,95;130,94;390,25
813;3;291,60;249,64;314,08
814;2;103,10;337,39;255,33
815;2;278,59;133,92;244,07
816;4;430,26;190,21;252,85
817;4;245,73;182,31;190,42
818;4;418,96;314,69;145,25
819;2;230,43;389,30;290,05
820;1;177,88;417,10;221,19
821;2;226,68;127,54;104,83
822;3;219,12;120,15;390,97
823;2;333,30;276,04;378,95
824;1;236,16;115,43;118,26
825;4;276,14;130,95;415,95
826;1;430,10;283,59;355,91
827;2;297,65;156,09;107,59
828;2;342,43;245,67;402,78
829;3;448,66;376,34;117,73
830;3;120,54;160,15;418,79
831;3;418,99;195,01;445,33
832;4;265,87;102,57;106,83
833;1;117,44;432,70;282,57
834;3;345,93;277,32;105,53
835;2;252,23;115,27;105,48
836;3;216,03;327,28;229,59
837;2;430,22;444,61;437,76
838;1;366,54;162,79;178,90
839;2;132,16;378,89;370,79
840;2;284,95;193,07;404,18
841;2;220,65;354,14;437,89
842;2;315,51;337,23;213,86
843;2;341,62;369,92;306,76
844;2;106,73;146,72;404,30
845;3;196,61;162,24;132,73
846;2;369,32;147,71;436,99
847;2;332,08;356,88;370,57
848;2;199,67;248,06;177,57
849;3;182,85;160,61;165,65
850;2;305,65;205,04;351,21
851;4;225,42;124,18;410,70
852;4;369,80;252,82;154,01
853;1;267,77;118,20;164,62
854;2;260,67;209,69;427,24
855;3;294,41;371,39;443,53
856;4;133,55;251,69;229,63
857;4;304,10;363,52;134,71
858;2;152,52;428,82;192,86
859;2;400,04;245,53;338,43
860;3;107,76;174,92;304,66
861;1;238,26;184,64;104,71
862;1;133,21;439,58;442,12
863;2;392,11;123,10;409,66
864;2;321,07;320,50;255,62
865;3;322,23;143,72;115,90
866;2;131,27;391,93;174,36
867;2;133,39;267,27;330,73
868;4;382,76;347,01;143,57
869;2;363,27;252,07;234,20
870;1;389,42;100,85;272,68
871;3;250,44;367,52;430,21
